,user_id,data,data_type,length,time
356,8029691476,Спасибочки,text,10,1750791304
357,8029691476,Спасибочки большое,text,18,1750792778
358,8029691476,Спасибочки большое,text,18,1750813335
359,8029691476,"Ага, знаю)",text,10,1750843382
360,8029691476,Арбуз,text,5,1750865609
361,8029691476,Доброе,text,6,1750914750
362,8029691476,"Нормально, ты как?",text,18,1750914763
363,8029691476,Да не каких а у тебя?,text,21,1750917876
364,8029691476,Доброе,text,6,1751001773
365,8029691476,Доброе утречко),text,15,1751007834
366,8029691476,Как ваши дела?,text,14,1751007860
367,8029691476,"Радуешь, тоже)",text,14,1751007902
368,8029691476,Магистр дьявольского культа смотрю,text,34,1751007936
369,8029691476,А ты?,text,5,1751007942
370,8029691476,Спасибо),text,8,1751007958
371,8029691476,Удачи),text,6,1751007985
372,8029691476,14,text,2,1751007999
373,8029691476,"Роль:Сяолань 
Причина:не могу ролить слишком много работы в последнее время вы лучшие пока💋",text,91,1751009768
374,7906438668,доброе утро,text,11,1750124135
375,7906438668,здравствуйте,text,12,1750151425
376,7906438668,дела хорошо ваши как,text,20,1750156554
377,7906438668,да,text,2,1750156634
378,7906438668,день нормально вроде бы ваш как,text,31,1750156649
379,7906438668,позитивно,text,9,1750156688
380,7906438668,не,text,2,1750156848
381,7906438668,не,text,2,1750158520
382,7906438668,"доброе утро, хорошо вам как",text,27,1750227907
383,7906438668,15 марта,text,8,1750261821
384,7906438668,за каво,text,7,1750439383
385,7906438668,я хз что де,text,11,1750439392
386,7906438668,хорошо,text,6,1750439402
387,7906438668,что писать,text,10,1750439447
388,7906438668,да,text,2,1750439452
389,7906438668,это я дон,text,9,1750439785
390,7906438668,"роль : сяолань
приучила : не влилась",text,36,1750547654
391,7540265490,Доброй ночи,text,11,1750125519
392,7540265490,Я спать,text,7,1750125524
393,7540265490,Через две минуты,text,16,1750125529
394,7540265490,Всем ку,text,7,1750191148
395,7540265490,Чагоо,text,5,1750191169
396,7540265490,Ньюшка?,text,7,1750191172
397,7540265490,Окак,text,4,1750191179
398,7540265490,Привета,text,7,1750191181
399,7540265490,Как делишки?,text,12,1750191230
400,7540265490,Хорошо,text,6,1750191261
401,7540265490,Ем яичницу,text,10,1750191266
402,7540265490,Делаю видео в процессе,text,22,1750191275
403,7540265490,Для флуда,text,9,1750191280
404,7540265490,О,text,1,1750191290
405,7540265490,Жена,text,4,1750191293
406,7540265490,"Погоди, а фужун это кто?.. В монологе?..",text,40,1750191313
407,7540265490,23:15,text,5,1750191320
408,7540265490,Я просто хз чо жрать,text,20,1750191363
409,7540265490,Ойй,text,3,1750191391
410,7540265490,Бедная,text,6,1750191394
411,7540265490,Окак,text,4,1750191398
412,7540265490,Нового императора?,text,18,1750191441
413,7540265490,Или старогою,text,12,1750191447
414,7540265490,? *,text,3,1750191450
415,7540265490,О,text,1,1750191556
416,7540265490,Женька в сети,text,13,1750191562
417,7540265490,Был,text,3,1750191573
418,7540265490,Здрасьте чо ли,text,14,1750191601
419,7540265490,Аа,text,2,1750191606
420,7540265490,"Мне как-то страшно
Либо потому, что я вас почти не знаю
Либо потому, что вы женьши",text,82,1750191648
421,7540265490,Грустно,text,7,1750191665
422,7540265490,Ааа,text,3,1750191673
423,7540265490,Да,text,2,1750191674
424,7540265490,Пропоганда запрещена,text,20,1750191681
425,7540265490,ХАХАХАХ,text,7,1750191695
426,7540265490,"Нееет, ну вот реально, я читаю ваши сообщения, и представляю Женьши. Как он это говорит",text,87,1750191725
427,7540265490,Удачи бро✊,text,10,1750191766
428,7540265490,Я тя понимаю,text,12,1750191774
429,7540265490,"Двй угадаю, перестать не можешь, потому что завтра не будет настроя?",text,68,1750191804
430,7540265490,А сколько вам?,text,14,1750191815
431,7540265490,Огого,text,5,1750191833
432,7540265490,Ого,text,3,1750191853
433,7540265490,Огосподи,text,8,1750191875
434,7540265490,Я тоже хочу работать💔,text,21,1750191886
435,7540265490,А мне не на кого,text,16,1750191896
436,7540265490,Работу не могу найти,text,20,1750191904
437,7540265490,Рядом нету,text,10,1750191916
